datetime,open,high,low,close,volume,dec,RD,GS,uptail,downtail,open1,high1,low1,close1,volume1,dec1,RD1,uptail1,downtail1,GS1,open2,high2,low2,close2,volume2,dec2,RD2,uptail2,downtail2,GS2
2021-08-06 20:00:00,2930.57,2940.81,2883.05,2914.49,190700.526,57.76,-16.08,0.000302883276,10.24,31.44,2918.6,2948.36,2913.53,2930.66,182740.306,34.83,12.06,17.7,5.07,0.000190598346,2914.01,2935,2904,2918.59,205985.357,31,4.58,16.41,10.01,0.000150496135
2021-08-06 21:00:00,2914.5,2920.91,2877.2,2878.79,109105.354,43.71,-35.71,0.000400621953,6.41,1.59,2930.57,2940.81,2883.05,2914.49,190700.526,57.76,-16.08,10.24,31.44,0.000302883276,2918.6,2948.36,2913.53,2930.66,182740.306,34.83,12.06,17.7,5.07,0.000190598346
2021-08-06 22:00:00,2878.65,2908.86,2878.38,2893.56,85904.376,30.48,14.91,0.000354813124,15.3,0.27,2914.5,2920.91,2877.2,2878.79,109105.354,43.71,-35.71,6.41,1.59,0.000400621953,2930.57,2940.81,2883.05,2914.49,190700.526,57.76,-16.08,10.24,31.44,0.000302883276
2021-08-06 23:00:00,2893.56,2896.06,2874.44,2892.3,75229.795,21.62,-1.26,0.000287386135,2.5,17.86,2878.65,2908.86,2878.38,2893.56,85904.376,30.48,14.91,15.3,0.27,0.000354813124,2914.5,2920.91,2877.2,2878.79,109105.354,43.71,-35.71,6.41,1.59,0.000400621953
2021-08-07 00:00:00,2892.29,2920,2865.45,2919.38,142056.063,54.55,27.09,0.000384003321,0.62,26.84,2893.56,2896.06,2874.44,2892.3,75229.795,21.62,-1.26,2.5,17.86,0.000287386135,2878.65,2908.86,2878.38,2893.56,85904.376,30.48,14.91,15.3,0.27,0.000354813124
2021-08-07 01:00:00,2919.38,2929.64,2885.45,2914.41,114163.021,44.19,-4.97,0.000387078054,10.26,28.96,2892.29,2920,2865.45,2919.38,142056.063,54.55,27.09,0.62,26.84,0.000384003321,2893.56,2896.06,2874.44,2892.3,75229.795,21.62,-1.26,2.5,17.86,0.000287386135
2021-08-07 02:00:00,2914.4,2934.55,2909.68,2928.2,102442.045,24.87,13.8,0.000242771413,6.35,4.72,2919.38,2929.64,2885.45,2914.41,114163.021,44.19,-4.97,10.26,28.96,0.000387078054,2892.29,2920,2865.45,2919.38,142056.063,54.55,27.09,0.62,26.84,0.000384003321
2021-08-07 03:00:00,2928.2,2940,2908.55,2936.2,104117.632,31.45,8,0.000302062191,3.8,19.65,2914.4,2934.55,2909.68,2928.2,102442.045,24.87,13.8,6.35,4.72,0.000242771413,2919.38,2929.64,2885.45,2914.41,114163.021,44.19,-4.97,10.26,28.96,0.000387078054
2021-08-07 04:00:00,2936.19,2989.11,2929.03,2958.36,255540.107,60.08,22.17,0.000235109865,30.75,7.16,2928.2,2940,2908.55,2936.2,104117.632,31.45,8,3.8,19.65,0.000302062191,2914.4,2934.55,2909.68,2928.2,102442.045,24.87,13.8,6.35,4.72,0.000242771413
2021-08-07 05:00:00,2958.37,2983,2955.5,2969.46,106892.335,27.5,11.09,0.000257268213,13.54,2.87,2936.19,2989.11,2929.03,2958.36,255540.107,60.08,22.17,30.75,7.16,0.000235109865,2928.2,2940,2908.55,2936.2,104117.632,31.45,8,3.8,19.65,0.000302062191
2021-08-07 06:00:00,2969.62,2975.7,2942,2959.74,120581.147,33.7,-9.88,0.000279479843,6.08,17.74,2958.37,2983,2955.5,2969.46,106892.335,27.5,11.09,13.54,2.87,0.000257268213,2936.19,2989.11,2929.03,2958.36,255540.107,60.08,22.17,30.75,7.16,0.000235109865
2021-08-07 07:00:00,2959.74,2976.56,2947.08,2957.09,97756.6,29.48,-2.65,0.000301565316,16.82,10.01,2969.62,2975.7,2942,2959.74,120581.147,33.7,-9.88,6.08,17.74,0.000279479843,2958.37,2983,2955.5,2969.46,106892.335,27.5,11.09,13.54,2.87,0.000257268213
